Data;Hora;Descricaoo do Porduto;Part Number;Codigo Sap;Projeto;Quant.;Turno
08/05/2023;00:17:54;534405120 ISOLAMENTO DO PAINEL 4X2 551 - INNER 551 4X2 - UTE2;534405120;2230203015.01;551;16;2
08/05/2023;00:26:37;532012740 CARPETE POSTERIOR 551 - CARPETE 551 - UTE5;532012740;2230200016.01;551;16;2
08/05/2023;08:28:27;609836860 HEADLINER PANORAM. BLACK 551 - TETO ACABADO 551P - UTE3;609836860;2230210038;551;10;1
08/05/2023;08:29:29;1002423000 CARPETE POSTERIOR 521 - CARPETE 521 - UTE5;1002423000;2230201018.01;521;16;1
08/05/2023;08:29:39;609373600 ASSOALHO DO VÃO CARGA 551 - CARGO LOAD 551 - UTE4;609373600;2230202012.01;551;30;1
08/05/2023;08:29:46;609373600 ASSOALHO DO VÃO CARGA 551 - CARGO LOAD 551 - UTE4;609373600;2230202012.01;551;30;1
08/05/2023;08:30:32;1002676940 Teto fechado 226 cinza SG MT5 - TETO ACABADO 226F - UTE3;1002676940;2230210034.01;226;10;1
08/05/2023;08:30:39;1002676940 Teto fechado 226 cinza SG MT5 - TETO ACABADO 226F - UTE3;1002676940;2230210034.01;226;10;1
08/05/2023;08:30:44;534907260 _ Isolamento caixa de roda dir - WHELL HOUSE 598 - UTE5;534907250;2230203015.03;598;36;1
08/05/2023;08:31:00;1002256160 CARPETE FRONTAL ESQUERDO 521 - CARPETE 521 - UTE5;1002256160;2230201003.01;521;34;1
08/05/2023;08:31:06;609827540 REVEST TETO FECH 551 SEAL G S/ - TETO ACABADO 551F - UTE3;609827540;2230210036;551;10;1
08/05/2023;08:31:10;609827540 REVEST TETO FECH 551 SEAL G S/ - TETO ACABADO 551F - UTE3;609827540;2230210036;551;10;1
08/05/2023;08:31:17;534405130 ISOLAMENTO DO PAINEL 4X4 551 - INNER 551 4X4 - UTE2;534405130;2230203016.01;551;16;1
08/05/2023;08:31:25;Carpete posterior REAR CARPET 521;;SFREAR 521;521;30;1
08/05/2023;08:32:03;Carpete direito FRONT CARPET RH 521;;SFFRONTRH 521;521;30;1
